int_id	url	left	result	right	a1	b1	center1	center2	center3	center4	year	birth	loc	genrei	author	source	corp_index	sub_query_index	id	group_id	compose_doc_id
59	http://m.livejournal.com/read/user/serfisher/51168	рыба . Толчется рыба в реке , хороводится . Тесно ей в воде .	От берега до берега	рыба великая заполняет реки и от устья до истоков переполняет	берега	берега	От	берега	до	берега	2010	0000	NA	blog	serfisher	lj	41	72306	38063852		40_180562
60	http://m.livejournal.com/read/user/sergei_morozov/18187	Было странно смотреть на людей , которые работали на каких-то участках "	от звонка до звонка	" , в то время как маркетинг и продажи работают круглосуточно- ) ) ) ) Зачем	звонка	звонка	от	звонка	до	звонка	2011	0000	Москва	blog	sergei_morozov	lj	41	72306	38109561		40_180715
61	http://m.livejournal.com/read/user/sigarettesmile/45188	и подвисли мысли , Время тонет , и пока Вдох- молчание , выдох-ожиданиe	От гудка до гудка	Неделя на природе проходит , и я у цели . Стали бесполезными	гудка	гудка	От	гудка	до	гудка	2007	0000	Петербург	blog	sigarettesmile	lj	41	72306	39060050		40_181175
62	http://m.livejournal.com/read/user/skora64/1726	и безповортно)))Жить вместе сразу было не суждено , встречались наездами , жили	от встречи до встречи	, между нами были границы , таможни , дороги . Ведь чувствую , плохо тебе	встречи	встречи	от	встречи	до	встречи	2010	1974	Финляндия	blog	skora64	lj	41	72306	39481147		40_181941
63	http://m.livejournal.com/read/user/snovazima/68214	положи , я люблю сладенькое . Смуглый верзила с одной беспрерывной бровью	от виска до виска	протянул Родиону кружку темного напитка . Щерба про себя окрестил великана	виска	виска	от	виска	до	виска	2010	0000	Москва	blog	snovazima	lj	41	72306	39907351		40_185568
64	http://m.livejournal.com/read/user/stolko4a/3108	им надо наддавать , чтоб не рыпались ? Чтоб заткнулись навеки об "	От моря до моря	" . Кстате , ктонить знает чтонить о ВМС Польши , это небось грозная	моря	моря	От	моря	до	моря	2009	0000	NA	blog	stolko4a	lj	41	72306	40890150		40_186990
65	http://m.livejournal.com/read/user/vsegdavpered/77559/comments/p1	дни Красной Армии . Потом - война . Потом мучительная жизнь . Еле дотягивали	от зарплаты до зарплаты	. Помню только один раз жена в день рождения принесла чекушку	зарплаты	зарплаты	от	зарплаты	до	зарплаты	2009	0000	Петербург	blog	vsegdavpered	lj	41	72306	45941209		40_276621
66	http://m.livejournal.com/read/user/_chilly_/76774	esquire . не буду про всякие там послевкусия , но его _можно_читать_ .	от корки до корки	.	корки	корки	от	корки	до	корки	2006	0000	NA	blog	_chilly_	lj	41	72306	742251		40_281164
67	http://m.livejournal.com/read/user/a_lena_scv/125612	перелет от Тюмени до Южно-Африканской Республики . Данный проект носит название "	От океана до океана	" ( « From ocean to ocean » ) и приурочен 65-летию создания символа российской	океана	океана	От	океана	до	океана	2012	0000	Россия	blog	a_lena_scv	lj	41	72306	1384779		40_281543
68	http://m.livejournal.com/read/user/adam_eva/33356	Старый дом глянет в сердце мое , Глянет небо опять , розовея	от краю до краю	, И окошко твое . Этот голос - он твой , и его непонятному	краю	краю	от	краю	до	краю	2008	1961	Москва	blog	adam_eva	lj	41	72306	1748947		40_282705
69	http://m.livejournal.com/read/user/bblkkskgv/68429	вины рисуешь пальцем в уголке взгляда далеко - прокрустно без головы	от стены до стены	вы видели после мая апрель ? я - да	стены	стены	от	стены	до	стены	2010	0000	NA	blog	bblkkskgv	lj	41	72306	6025295		40_288266
70	http://m.livejournal.com/read/user/alarmyst/374261	Хотя , давно ведь намереваюсь . Толстого Льва Николаича некогда увлечённо перечитал ,	от корки до корки	, а тут никак не наберусь решимости взяться . Но надо . И	корки	корки	от	корки	до	корки	2013	1974	Забайкальский край	blog	alarmyst	lj	41	72306	2344694		40_376242
71	http://m.livejournal.com/read/user/andrew_dovgan/98277/comments/p1	Куда он съехал бы с караваном за 150 штукарей ? только	от кемпинга до кемпинга	на таком ездить , а это правильный внедорожный прицеп .	кемпинга	кемпинга	от	кемпинга	до	кемпинга	2013	0000	Москва	blog	andrew_dovgan	lj	41	72306	3694930		40_379091
72	http://m.livejournal.com/read/user/andrey_promo/14830	начал регулярно покупать КОМПЬЮТЕРРУ . Я уже не читал его весь	от корки до корки	. Я читал 13ую , читал Козловского , Голубицкого , новости и статьи по	корки	корки	от	корки	до	корки	2009	1984	Москва	blog	andrey_promo	lj	41	72306	3730655		40_379248
73	http://m.livejournal.com/read/user/angelicioussc/1622	"	От сессии до сессии	живут студенты весело . Как хорошо , что сессия всего 2 раза	сессии	сессии	От	сессии	до	сессии	2009	0000	NA	blog	angelicioussc	lj	41	72306	3886416		40_379965
74	http://m.livejournal.com/read/user/angelicioussc/29812	без него делала ) 5 ) выучила многие круглосуточные кофейни с wi-fi	От сессии до сессии	, сижу на попе смирно я Но чуть почуяв запах пзца	сессии	сессии	От	сессии	до	сессии	2011	0000	NA	blog	angelicioussc	lj	41	72306	3886467		40_380016
75	http://m.livejournal.com/read/user/uptostars/23900/comments/p1	Ой , тоже люблю эту фотосессию с лимончиками . Улыбка	от уха до уха	:) Аля , маленький офф : случайно наткнулась : http://clubs.ya.ru/4611686018427431362/replies.xml?item_no=613 & ncrnd=276 Это же часть	уха	уха	от	уха	до	уха	2010	0000	Россия	blog	springflow	lj	41	72306	40475438		40_484837
76	http://m.livejournal.com/read/user/taxman1079/111178	которого есть заказ на утро общей протяжённостью в 350 км	от адреса до адреса	. По мере возможности буду писать сюда дополняя пост подробностями , а	адреса	адреса	от	адреса	до	адреса	2013	1974	Москва	blog	taxman1079	lj	41	72306	42223888		40_488193
77	http://m.livejournal.com/read/user/taxman1079/169597	Москвы и являются приблизительными так как каждый заказ расчитывается индивидуально	от адреса до адреса	и естественно по фиксированной стоимости , а консультации возможны по телефону	адреса	адреса	от	адреса	до	адреса	2014	1974	Москва	blog	taxman1079	lj	41	72306	42223925		40_488230
78	http://m.livejournal.com/read/user/v_so4initel/11761	превзошел обувной король Овик , только что отбарабанивший свой второй срок	от звонка до звонка	. В знак дружбы с его отцом дядя Баруйр умудрился когда-то	звонка	звонка	от	звонка	до	звонка	2011	0000	Одесса	blog	v_so4initel	lj	41	72306	44306940		40_492726
79	http://m.livejournal.com/read/user/v_so4initel/12823	пока ее без пяти минут муженек рисовал дома и облизывал	от уха до уха	мерзкую переводчицу , Ройзман вел дипломатические переговоры об инвестициях , а остальные	уха	уха	от	уха	до	уха	2011	0000	Одесса	blog	v_so4initel	lj	41	72306	44306944		40_492730
80	http://m.livejournal.com/read/user/v_so4initel/13233	Те устремлялись к родственникам в нестерпимо белом сиянии и улыбались	от уха до уха	. Ирине не повезло . Своих покойников она нигде не встретила . Может	уха	уха	от	уха	до	уха	2011	0000	Одесса	blog	v_so4initel	lj	41	72306	44306946		40_492732
81	http://m.livejournal.com/read/user/v_so4initel/14056	вдруг дождевая завеса расползлась . Дорога вынесла меня вверх . А там	от края до края	вселенной разлеглось свежее , в линзах розовато - фиолетового цвета , влажно мерцающее	края	края	от	края	до	края	2011	0000	Одесса	blog	v_so4initel	lj	41	72306	44306950		40_492736
82	http://m.livejournal.com/read/user/v_so4initel/16582	в Интернет такое количество забавных масок - и черепов , и осклабившихся	от уха до уха	ртов , и клоунских веселых рож с носами - картошками , -- что стало	уха	уха	от	уха	до	уха	2011	0000	Одесса	blog	v_so4initel	lj	41	72306	44306960		40_492746
83	http://m.livejournal.com/read/user/v_so4initel/16895	вы даете ! - восхищенно ответствовал он . - Харчами перебираете ! А у нас	от шахты до шахты	и зайти некуда ! » Хозяева уважительно попритихли , как если бы вдруг	шахты	шахты	от	шахты	до	шахты	2011	0000	Одесса	blog	v_so4initel	lj	41	72306	44306961		40_492747
84	http://m.livejournal.com/read/user/v_so4initel/17297	Кучкиной не имеют никакого значения . Глаза , ослепительные зубы , восторженная улыбка	от уха до уха	- знаменитая исполнительница народных песен . Политическая передача перед Новым годом . Приглашен	уха	уха	от	уха	до	уха	2011	0000	Одесса	blog	v_so4initel	lj	41	72306	44306965		40_492751
85	http://m.livejournal.com/read/user/skieur/144018	честно , было очень интересно , наконец - то понять , что это такое "	от сессии до сессии	живут студенты весело " . Но не тут то было . Начиная с	сессии	сессии	от	сессии	до	сессии	2007	1986	Москва	blog	skieur	lj	41	72306	39449343		40_579414
86	http://m.livejournal.com/read/user/sol_ly/76424	подхалимство . Ну не мог Бог за 7 дней продумать все	от корки до корки	! Он же не виноват в этом . Всякая еда , за исключением	корки	корки	от	корки	до	корки	2010	1987	Россия	blog	sol_ly	lj	41	72306	40061410		40_579999
87	http://m.livejournal.com/read/user/sol_ly/97267	к северу . В нем нет рифм , ни пауз , ни восклицания -	от скамьи до скамьи	- повествование . В нем нет запахов , как из булочной , и тропинок	скамьи	скамьи	от	скамьи	до	скамьи	2010	1987	Россия	blog	sol_ly	lj	41	72306	40061460		40_580049
88	http://m.livejournal.com/read/user/teeegra/44440	могла . Ибо тема донорства для меня является весьма животрепещущей . Прочла	от корки до корки	) Хочу и вас , дорогие френды , просветить немножко на этот счет	корки	корки	от	корки	до	корки	2009	1982	Москва	blog	teeegra	lj	41	72306	42313850		40_583209
89	http://m.livejournal.com/read/user/une_claire/804	страхи , заботы - просто Носиться пеплом под темными небесами , подобно тени -	от лета До лета	резвиться : зимою падать снегами на сонный город ; Он не узнает	лета	лета	от	лета	До	лета	2005	0000	NA	blog	une_claire	lj	41	72306	43968976		40_586597
90	http://m.livejournal.com/read/user/new_neroli/31796	воображаемую ( а можно и просто отмерить ниткой или ленточкой ) линию	от уха до уха	. В середине этой линии , в верхней точке головы и находится	уха	уха	от	уха	до	уха	2012	0000	Петербург	blog	new_neroli	lj	41	72306	30707182		40_681750
91	http://m.livejournal.com/read/user/o_zhidanie/295380	длятся ... Во мне сейчас малое . Только принятие всего , что приходит , -	от края до края	. Только горизонталь , что я выгибаю телефоном , словно в танце . Только	края	края	от	края	до	края	2014	0000	Иркутск	blog	o_zhidanie	lj	41	72306	31741230		40_682653
